date,type,v1,year,month,Mt
2001-01-01,nuclear,72,2001,1,1.78
2001-01-01,petroleum,72,2001,1,11.08
2001-01-01,total,72,2001,1,25.469999
2001-01-01,windsolarandhydro,72,2001,1,.039999999
2001-02-01,bioenergywaste,73,2001,2,.20999999
2001-02-01,coal,73,2001,2,1.51
2001-02-01,natural,73,2001,2,9.5600004
2001-02-01,nuclear,73,2001,2,1.67
2001-02-01,petroleum,73,2001,2,9.9300003
2001-02-01,total,73,2001,2,22.92
2001-02-01,windsolarandhydro,73,2001,2,.039999999
2001-03-01,bioenergywaste,74,2001,3,.20999999
2001-03-01,coal,74,2001,3,1.99
2001-03-01,natural,74,2001,3,10.57
2001-03-01,nuclear,74,2001,3,1.8099999
2001-03-01,petroleum,74,2001,3,10.98
2001-03-01,total,74,2001,3,25.59
2001-03-01,windsolarandhydro,74,2001,3,.029999999
2001-04-01,bioenergywaste,75,2001,4,.20999999
2001-04-01,coal,75,2001,4,1.41
2001-04-01,natural,75,2001,4,9.8500004
2001-04-01,nuclear,75,2001,4,1.65
2001-04-01,petroleum,75,2001,4,10.69
2001-04-01,total,75,2001,4,23.84
2001-04-01,windsolarandhydro,75,2001,4,.029999999
2001-05-01,bioenergywaste,76,2001,5,.20999999
2001-05-01,coal,76,2001,5,1.7
2001-05-01,natural,76,2001,5,7.9400001
2001-05-01,nuclear,76,2001,5,1.46
2001-05-01,petroleum,76,2001,5,10.75
2001-05-01,total,76,2001,5,22.08
2001-05-01,windsolarandhydro,76,2001,5,.02
2001-06-01,bioenergywaste,77,2001,6,.20999999
2001-06-01,coal,77,2001,6,2.05
2001-06-01,natural,77,2001,6,7.1599998
2001-06-01,nuclear,77,2001,6,1.55
2001-06-01,petroleum,77,2001,6,9.6099997
2001-06-01,total,77,2001,6,20.6
2001-06-01,windsolarandhydro,77,2001,6,.02
2001-07-01,bioenergywaste,78,2001,7,.20999999
2001-07-01,coal,78,2001,7,1.48
2001-07-01,natural,78,2001,7,7.1799998
2001-07-01,nuclear,78,2001,7,1.59
2001-07-01,petroleum,78,2001,7,10.63
2001-07-01,total,78,2001,7,21.110001
2001-07-01,windsolarandhydro,78,2001,7,.02
2001-08-01,bioenergywaste,79,2001,8,.20999999
2001-08-01,coal,79,2001,8,1.27
2001-08-01,natural,79,2001,8,6.6700001
2001-08-01,nuclear,79,2001,8,1.74
